Маркетплейс;Дата;Артикул;Товар;Категория;Бренд;Продано, шт;Реализация, ₽;Возвраты, ₽;Комиссия МП, ₽;Логистика, ₽;Хранение, ₽;Продвижение, ₽;Штрафы, ₽;Прочие удержания, ₽;К выплате, ₽
Wildberries;2026-06-29;WB-001;Худи Northmoor 01;Одежда/Худи;Northmoor;57;99749;0;14962;10421;352;3989;0;0;70025
Wildberries;2026-06-29;WB-002;Худи Aurelka 02;Одежда/Худи;Aurelka;1;718;291;107;55;336;0;0;0;-71
Wildberries;2026-06-29;WB-003;Худи Aurelka 03;Одежда/Худи;Aurelka;13;31782;0;4766;3290;86;1270;0;0;22370
Ozon;2026-06-29;OZ-004;Худи Aurelka 04;Одежда/Худи;Aurelka;18;22496;1119;3374;1528;181;0;0;0;16294
Ozon;2026-06-29;OZ-005;Футболки Basico 05;Одежда/Футболки;Basico;35;58245;6459;8737;5620;175;0;0;0;37254
Ozon;2026-06-29;OZ-006;Футболки Basico 06;Одежда/Футболки;Basico;33;45239;0;6785;4460;416;0;0;0;33578
Wildberries;2026-06-29;WB-007;Футболки Northmoor 07;Одежда/Футболки;Northmoor;52;53081;6419;7962;4916;156;0;0;0;33628
Ozon;2026-06-29;OZ-008;Футболки Basico 08;Одежда/Футболки;Basico;13;42997;0;6449;4243;76;1719;0;0;30510
Wildberries;2026-06-29;WB-009;Кружки Keramo 09;Посуда/Кружки;Keramo;30;64795;0;9718;6649;402;0;0;0;48026
Wildberries;2026-06-29;WB-010;Кружки Keramo 10;Посуда/Кружки;Keramo;49;91858;0;13778;6524;317;3674;0;0;67565
Ozon;2026-06-29;OZ-011;Кружки Keramo 11;Посуда/Кружки;Keramo;51;137478;17851;20621;9392;66;0;0;0;89548
Ozon;2026-06-29;OZ-012;Кружки LuceCasa 12;Посуда/Кружки;LuceCasa;59;177162;0;26574;29195;79;7086;0;0;114228
Ozon;2026-06-29;OZ-013;Тарелки Keramo 13;Посуда/Тарелки;Keramo;45;35626;0;5344;3588;314;4988;0;0;21392
Ozon;2026-06-29;OZ-014;Тарелки Keramo 14;Посуда/Тарелки;Keramo;28;59834;6855;8974;5746;272;0;0;0;37987
Wildberries;2026-06-29;WB-015;Тарелки LuceCasa 15;Посуда/Тарелки;LuceCasa;48;152040;7466;22805;12745;253;0;0;0;108771
Ozon;2026-06-29;OZ-016;Тарелки Keramo 16;Посуда/Тарелки;Keramo;36;37531;1976;5630;4033;257;5253;0;0;20382
Wildberries;2026-06-29;WB-017;Наушники Voltra 17;Электроника/Наушники;Voltra;22;81938;0;12290;7719;232;0;0;0;61697
Wildberries;2026-06-29;WB-018;Наушники SonaX 18;Электроника/Наушники;SonaX;66;261024;0;39153;17392;252;0;0;0;204227
Wildberries;2026-06-29;WB-019;Наушники SonaX 19;Электроника/Наушники;SonaX;52;46738;0;7010;3114;232;7478;0;0;28904
Wildberries;2026-06-29;WB-020;Наушники SonaX 20;Электроника/Наушники;SonaX;31;129929;0;19489;14917;341;5197;0;0;89985
Wildberries;2026-06-29;WB-021;Пледы Aurelka 21;Дом/Пледы;Aurelka;27;90573;10899;13586;10613;210;0;0;0;55265
Wildberries;2026-06-29;WB-022;Пледы CozyNest 22;Дом/Пледы;CozyNest;2;3966;1685;595;382;280;0;0;0;1024
Wildberries;2026-06-29;WB-023;Пледы CozyNest 23;Дом/Пледы;CozyNest;56;177534;136219;26630;11464;14;0;0;0;3207
Wildberries;2026-06-29;WB-024;Пледы CozyNest 24;Дом/Пледы;CozyNest;19;64678;0;9702;6320;329;2587;0;0;45740
Wildberries;2026-07-06;WB-001;Худи Northmoor 01;Одежда/Худи;Northmoor;53;89872;0;13480;9086;386;3594;0;0;63326
Wildberries;2026-07-06;WB-002;Худи Aurelka 02;Одежда/Худи;Aurelka;1;713;285;107;53;290;0;0;0;-22
Wildberries;2026-07-06;WB-003;Худи Aurelka 03;Одежда/Худи;Aurelka;15;36126;0;5418;3739;70;1444;0;0;25455
Ozon;2026-07-06;OZ-004;Худи Aurelka 04;Одежда/Худи;Aurelka;19;23474;1184;3520;1479;172;0;0;0;17119
Ozon;2026-07-06;OZ-005;Футболки Basico 05;Одежда/Футболки;Basico;39;65749;7835;9862;6199;166;0;0;0;41687
Ozon;2026-07-06;OZ-006;Футболки Basico 06;Одежда/Футболки;Basico;37;51760;0;7763;4863;331;0;0;0;38803
Wildberries;2026-07-06;WB-007;Футболки Northmoor 07;Одежда/Футболки;Northmoor;61;62299;7944;9345;5916;205;0;0;0;38889
Ozon;2026-07-06;OZ-008;Футболки Basico 08;Одежда/Футболки;Basico;13;42948;0;6441;4166;85;1718;0;0;30538
Wildberries;2026-07-06;WB-009;Кружки Keramo 09;Посуда/Кружки;Keramo;34;72271;0;10840;7748;348;0;0;0;53335
Wildberries;2026-07-06;WB-010;Кружки Keramo 10;Посуда/Кружки;Keramo;49;94532;0;16070;6684;331;3781;0;0;67666
Ozon;2026-07-06;OZ-011;Кружки Keramo 11;Посуда/Кружки;Keramo;47;126596;15584;18989;8470;84;0;0;0;83469
Ozon;2026-07-06;OZ-012;Кружки LuceCasa 12;Посуда/Кружки;LuceCasa;64;188235;0;28235;31229;59;7529;0;0;121183
Ozon;2026-07-06;OZ-013;Тарелки Keramo 13;Посуда/Тарелки;Keramo;45;35946;0;5392;3361;302;5032;0;0;21859
Ozon;2026-07-06;OZ-014;Тарелки Keramo 14;Посуда/Тарелки;Keramo;27;57675;7541;8650;5616;230;0;0;0;35638
Wildberries;2026-07-06;WB-015;Тарелки LuceCasa 15;Посуда/Тарелки;LuceCasa;60;194647;10537;29196;17139;212;0;0;0;137563
Ozon;2026-07-06;OZ-016;Тарелки Keramo 16;Посуда/Тарелки;Keramo;33;33485;1681;5023;3919;294;4687;0;0;17881
Wildberries;2026-07-06;WB-017;Наушники Voltra 17;Электроника/Наушники;Voltra;25;91727;0;13759;8982;297;0;0;0;68689
Wildberries;2026-07-06;WB-018;Наушники SonaX 18;Электроника/Наушники;SonaX;69;277614;0;41642;18300;310;0;0;0;217362
Wildberries;2026-07-06;WB-019;Наушники SonaX 19;Электроника/Наушники;SonaX;53;46340;0;6951;3155;228;7414;0;0;28592
