ID кампании;Кампания;Тип;Дата;Артикул;Показы;Клики;Расход, ₽;Заказы;Выручка с заказов, ₽;ДРР, %
OZ-C-201;Трафареты · Кружки LuceCasa;Трафареты;2026-06-29;OZ-012;18883;474;7086;36;108099;6.6
OZ-C-201;Трафареты · Кружки LuceCasa;Трафареты;2026-07-06;OZ-012;25108;522;7529;42;123529;6.1
OZ-C-201;Трафареты · Кружки LuceCasa;Трафареты;2026-07-13;OZ-012;13190;387;6789;28;84866;8.0
OZ-C-201;Трафареты · Кружки LuceCasa;Трафареты;2026-07-20;OZ-012;14847;512;6845;36;106211;6.4
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-06-29;OZ-013;13817;355;4988;25;19792;25.2
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-06-29;OZ-016;14692;297;5253;20;20851;25.2
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-07-06;OZ-013;14190;359;5032;23;18372;27.4
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-07-06;OZ-016;12111;355;4687;21;21309;22.0
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-07-13;OZ-013;15428;360;5767;31;24096;23.9
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-07-13;OZ-016;15641;347;5169;22;22569;22.9
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-07-20;OZ-013;12524;351;6150;28;22364;27.5
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-07-20;OZ-016;12360;395;5694;25;26076;21.8
OZ-C-203;Трафареты · Футболки Basico 08;Трафареты;2026-06-29;OZ-008;5627;140;1719;6;19845;8.7
OZ-C-203;Трафареты · Футболки Basico 08;Трафареты;2026-07-06;OZ-008;4028;124;1718;9;29733;5.8
OZ-C-203;Трафареты · Футболки Basico 08;Трафареты;2026-07-13;OZ-008;3285;120;2108;9;29650;7.1
OZ-C-203;Трафареты · Футболки Basico 08;Трафареты;2026-07-20;OZ-008;5378;108;1735;7;23363;7.4
