ID кампании;Кампания;Тип кампании;Дата;Артикул WB;Показы;Клики;CTR, %;CPC, ₽;Затраты, ₽;Заказы;Сумма заказов, ₽;CR, %
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-07-27;WB-019;23079;897;3.89;11.53;10338;16;12724;1.78
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-07-27;WB-020;16217;457;2.82;10.77;4921;15;63640;3.28
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-08-03;WB-019;39783;1243;3.12;9.29;11552;18;14097;1.45
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-08-03;WB-020;15318;509;3.32;9.87;5025;20;83754;3.93
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-08-10;WB-019;41975;983;2.34;11.87;11665;17;13676;1.73
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-08-10;WB-020;14803;468;3.16;9.89;4630;16;66149;3.42
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-08-17;WB-019;33711;1061;3.15;11.21;11892;18;14512;1.70
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-08-17;WB-020;13338;510;3.82;10.24;5220;20;84202;3.92
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-07-27;WB-001;10158;226;2.22;11.48;2595;17;29032;7.52
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-07-27;WB-003;3065;98;3.20;11.81;1157;7;16880;7.14
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-08-03;WB-001;11657;240;2.06;12.35;2964;27;46539;11.25
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-08-03;WB-003;4198;98;2.33;13.12;1286;6;14848;6.12
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-08-10;WB-001;6256;243;3.88;11.47;2787;25;42500;10.29
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-08-10;WB-003;2833;111;3.92;13.06;1450;7;16930;6.31
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-08-17;WB-001;9119;230;2.52;12.09;2781;20;34776;8.70
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-08-17;WB-003;5160;118;2.29;11.46;1352;9;21749;7.63
WB-C-103;Авто · Кружки Keramo;Автоматическая;2026-07-27;WB-010;9221;334;3.62;12.66;4227;29;54740;8.68
WB-C-103;Авто · Кружки Keramo;Автоматическая;2026-08-03;WB-010;16844;358;2.13;10.32;3695;27;51964;7.54
WB-C-103;Авто · Кружки Keramo;Автоматическая;2026-08-10;WB-010;12526;357;2.85;11.20;4000;34;64157;9.52
WB-C-103;Авто · Кружки Keramo;Автоматическая;2026-08-17;WB-010;15657;365;2.33;10.36;3782;25;47286;6.85
WB-C-104;Аукцион · Пледы CozyNest 24;Аукцион;2026-07-27;WB-024;6883;203;2.95;11.14;2261;10;33248;4.93
WB-C-104;Аукцион · Пледы CozyNest 24;Аукцион;2026-08-03;WB-024;7191;156;2.17;11.97;1867;7;23337;4.49
WB-C-104;Аукцион · Пледы CozyNest 24;Аукцион;2026-08-10;WB-024;5423;212;3.91;10.88;2306;11;37311;5.19
WB-C-104;Аукцион · Пледы CozyNest 24;Аукцион;2026-08-17;WB-024;6977;180;2.58;12.83;2309;10;33955;5.56
