Маркетплейс;Дата;Артикул;Товар;Категория;Бренд;Продано, шт;Реализация, ₽;Возвраты, ₽;Комиссия МП, ₽;Логистика, ₽;Хранение, ₽;Продвижение, ₽;Штрафы, ₽;Прочие удержания, ₽;К выплате, ₽
Wildberries;2026-06-01;WB-001;Худи Northmoor 01;Одежда/Худи;Northmoor;42;72499;0;10875;7824;291;2899;0;0;50610
Wildberries;2026-06-01;WB-002;Худи Aurelka 02;Одежда/Худи;Aurelka;1;725;308;108;55;314;0;0;0;-60
Wildberries;2026-06-01;WB-003;Худи Aurelka 03;Одежда/Худи;Aurelka;15;36977;0;5546;3894;73;1478;0;0;25986
Ozon;2026-06-01;OZ-004;Худи Aurelka 04;Одежда/Худи;Aurelka;18;21902;1164;3284;1463;218;0;0;0;15773
Ozon;2026-06-01;OZ-005;Футболки Basico 05;Одежда/Футболки;Basico;40;67803;7664;10170;6050;230;0;0;0;43689
Ozon;2026-06-01;OZ-006;Футболки Basico 06;Одежда/Футболки;Basico;41;57561;0;8633;5676;328;0;0;0;42924
Wildberries;2026-06-01;WB-007;Футболки Northmoor 07;Одежда/Футболки;Northmoor;52;52797;6072;7919;5147;214;0;0;0;33445
Ozon;2026-06-01;OZ-008;Футболки Basico 08;Одежда/Футболки;Basico;14;46975;0;7045;4616;82;1879;0;0;33353
Wildberries;2026-06-01;WB-009;Кружки Keramo 09;Посуда/Кружки;Keramo;28;60068;0;9009;6094;333;0;0;0;44632
Wildberries;2026-06-01;WB-010;Кружки Keramo 10;Посуда/Кружки;Keramo;51;97457;0;14618;7005;338;3898;0;0;71598
Ozon;2026-06-01;OZ-011;Кружки Keramo 11;Посуда/Кружки;Keramo;38;100150;13042;15022;6875;72;0;0;0;65139
Ozon;2026-06-01;OZ-012;Кружки LuceCasa 12;Посуда/Кружки;LuceCasa;49;144896;0;21734;16765;76;5796;0;0;100525
Ozon;2026-06-01;OZ-013;Тарелки Keramo 13;Посуда/Тарелки;Keramo;54;42088;0;6313;4163;346;5892;0;0;25374
Ozon;2026-06-01;OZ-014;Тарелки Keramo 14;Посуда/Тарелки;Keramo;22;48321;5945;7247;4346;280;0;0;0;30503
Wildberries;2026-06-01;WB-015;Тарелки LuceCasa 15;Посуда/Тарелки;LuceCasa;55;180832;9124;27124;15360;248;0;0;0;128976
Ozon;2026-06-01;OZ-016;Тарелки Keramo 16;Посуда/Тарелки;Keramo;30;31422;1572;4713;3423;299;4398;0;0;17017
Wildberries;2026-06-01;WB-017;Наушники Voltra 17;Электроника/Наушники;Voltra;23;84925;0;12738;7830;266;0;0;0;64091
Wildberries;2026-06-01;WB-018;Наушники SonaX 18;Электроника/Наушники;SonaX;58;231960;0;34794;14732;339;0;0;0;182095
Wildberries;2026-06-01;WB-019;Наушники SonaX 19;Электроника/Наушники;SonaX;48;42360;0;6354;2962;273;5930;0;0;26841
Wildberries;2026-06-01;WB-020;Наушники SonaX 20;Электроника/Наушники;SonaX;34;144193;0;21629;16119;450;5767;0;0;100228
Wildberries;2026-06-01;WB-021;Пледы Aurelka 21;Дом/Пледы;Aurelka;22;74280;9422;11142;8415;227;0;0;0;45074
Wildberries;2026-06-01;WB-022;Пледы CozyNest 22;Дом/Пледы;CozyNest;5;10105;4535;1515;922;249;0;0;0;2884
Wildberries;2026-06-01;WB-023;Пледы CozyNest 23;Дом/Пледы;CozyNest;42;133720;55320;20058;8776;15;0;0;0;49551
Wildberries;2026-06-01;WB-024;Пледы CozyNest 24;Дом/Пледы;CozyNest;17;55676;0;8351;5918;342;2227;0;0;38838
Wildberries;2026-06-08;WB-001;Худи Northmoor 01;Одежда/Худи;Northmoor;41;71598;0;10739;7461;381;2863;0;0;50154
Wildberries;2026-06-08;WB-002;Худи Aurelka 02;Одежда/Худи;Aurelka;1;727;313;109;51;285;0;0;0;-31
Wildberries;2026-06-08;WB-003;Худи Aurelka 03;Одежда/Худи;Aurelka;14;34514;0;5176;3600;88;1380;0;0;24270
Ozon;2026-06-08;OZ-004;Худи Aurelka 04;Одежда/Худи;Aurelka;15;18335;932;2750;1282;223;0;0;0;13148
Ozon;2026-06-08;OZ-005;Футболки Basico 05;Одежда/Футболки;Basico;38;62891;7801;9434;6150;215;0;0;0;39291
Ozon;2026-06-08;OZ-006;Футболки Basico 06;Одежда/Футболки;Basico;40;55049;0;8256;5700;398;0;0;0;40695
Wildberries;2026-06-08;WB-007;Футболки Northmoor 07;Одежда/Футболки;Northmoor;50;49666;5490;7450;5163;153;0;0;0;31410
Ozon;2026-06-08;OZ-008;Футболки Basico 08;Одежда/Футболки;Basico;12;39905;0;5985;3691;87;1596;0;0;28546
Wildberries;2026-06-08;WB-009;Кружки Keramo 09;Посуда/Кружки;Keramo;28;59838;0;8975;5865;464;0;0;0;44534
Wildberries;2026-06-08;WB-010;Кружки Keramo 10;Посуда/Кружки;Keramo;52;99584;0;14937;7162;282;3983;0;0;73220
Ozon;2026-06-08;OZ-011;Кружки Keramo 11;Посуда/Кружки;Keramo;39;103521;12866;15528;6766;68;0;0;0;68293
Ozon;2026-06-08;OZ-012;Кружки LuceCasa 12;Посуда/Кружки;LuceCasa;52;158101;0;23715;18716;79;6324;0;0;109267
Ozon;2026-06-08;OZ-013;Тарелки Keramo 13;Посуда/Тарелки;Keramo;47;37603;0;5640;3711;401;5264;0;0;22587
Ozon;2026-06-08;OZ-014;Тарелки Keramo 14;Посуда/Тарелки;Keramo;21;45477;5768;6821;4174;335;0;0;0;28379
Wildberries;2026-06-08;WB-015;Тарелки LuceCasa 15;Посуда/Тарелки;LuceCasa;44;143855;7034;21578;12124;224;0;0;0;102895
Ozon;2026-06-08;OZ-016;Тарелки Keramo 16;Посуда/Тарелки;Keramo;28;28754;1393;4313;3126;259;4025;0;0;15638
Wildberries;2026-06-08;WB-017;Наушники Voltra 17;Электроника/Наушники;Voltra;25;92761;0;13914;8773;248;0;0;0;69826
Wildberries;2026-06-08;WB-018;Наушники SonaX 18;Электроника/Наушники;SonaX;50;202676;0;30401;13115;330;0;0;0;158830
Wildberries;2026-06-08;WB-019;Наушники SonaX 19;Электроника/Наушники;SonaX;48;43153;0;6473;2911;234;6041;0;0;27494
Wildberries;2026-06-08;WB-020;Наушники SonaX 20;Электроника/Наушники;SonaX;36;152328;0;22849;18188;363;6093;0;0;104835
Wildberries;2026-06-08;WB-021;Пледы Aurelka 21;Дом/Пледы;Aurelka;22;73905;8997;11086;8434;195;0;0;0;45193
Wildberries;2026-06-08;WB-022;Пледы CozyNest 22;Дом/Пледы;CozyNest;4;7954;3386;1193;718;276;0;0;0;2381
Wildberries;2026-06-08;WB-023;Пледы CozyNest 23;Дом/Пледы;CozyNest;42;134026;55504;20104;8362;19;0;0;0;50037
Wildberries;2026-06-08;WB-024;Пледы CozyNest 24;Дом/Пледы;CozyNest;15;50470;0;7570;5295;255;2019;0;0;35331
Wildberries;2026-06-15;WB-001;Худи Northmoor 01;Одежда/Худи;Northmoor;49;84596;0;12689;9108;317;3383;0;0;59099
Wildberries;2026-06-15;WB-002;Худи Aurelka 02;Одежда/Худи;Aurelka;1;715;274;107;53;357;0;0;0;-76
Wildberries;2026-06-15;WB-003;Худи Aurelka 03;Одежда/Худи;Aurelka;15;36460;0;5468;3705;66;1458;0;0;25763
Ozon;2026-06-15;OZ-004;Худи Aurelka 04;Одежда/Худи;Aurelka;15;18678;948;2801;1279;182;0;0;0;13468
Ozon;2026-06-15;OZ-005;Футболки Basico 05;Одежда/Футболки;Basico;41;69299;8573;10395;6433;226;0;0;0;43672
Ozon;2026-06-15;OZ-006;Футболки Basico 06;Одежда/Футболки;Basico;34;46622;0;6993;4926;455;0;0;0;34248
Wildberries;2026-06-15;WB-007;Футболки Northmoor 07;Одежда/Футболки;Northmoor;58;59603;7411;8940;6009;178;0;0;0;37065
Ozon;2026-06-15;OZ-008;Футболки Basico 08;Одежда/Футболки;Basico;15;49887;0;7482;4813;70;1995;0;0;35527
Wildberries;2026-06-15;WB-009;Кружки Keramo 09;Посуда/Кружки;Keramo;31;66212;0;9931;6951;334;0;0;0;48996
Wildberries;2026-06-15;WB-010;Кружки Keramo 10;Посуда/Кружки;Keramo;55;103306;0;15495;7593;272;4132;0;0;75814
Ozon;2026-06-15;OZ-011;Кружки Keramo 11;Посуда/Кружки;Keramo;42;112033;12402;16804;7705;60;0;0;0;75062
Ozon;2026-06-15;OZ-012;Кружки LuceCasa 12;Посуда/Кружки;LuceCasa;51;151600;0;22740;18559;57;6064;0;0;104180
Ozon;2026-06-15;OZ-013;Тарелки Keramo 13;Посуда/Тарелки;Keramo;49;38584;0;5787;3691;337;5402;0;0;23367
Ozon;2026-06-15;OZ-014;Тарелки Keramo 14;Посуда/Тарелки;Keramo;22;46873;5673;7030;4436;332;0;0;0;29402
Wildberries;2026-06-15;WB-015;Тарелки LuceCasa 15;Посуда/Тарелки;LuceCasa;52;167008;7941;25050;13927;188;0;0;0;119902
Ozon;2026-06-15;OZ-016;Тарелки Keramo 16;Посуда/Тарелки;Keramo;30;31024;1478;4654;3367;305;4343;0;0;16877
Wildberries;2026-06-15;WB-017;Наушники Voltra 17;Электроника/Наушники;Voltra;24;90566;0;13585;8700;296;0;0;0;67985
Wildberries;2026-06-15;WB-018;Наушники SonaX 18;Электроника/Наушники;SonaX;56;222229;0;33334;14601;269;0;0;0;174025
Wildberries;2026-06-15;WB-019;Наушники SonaX 19;Электроника/Наушники;SonaX;54;46750;0;7012;3218;289;6545;0;0;29686
Wildberries;2026-06-15;WB-020;Наушники SonaX 20;Электроника/Наушники;SonaX;35;148171;0;22225;17589;370;5926;0;0;102061
