ID кампании;Кампания;Тип;Дата;Артикул;Показы;Клики;Расход, ₽;Заказы;Выручка с заказов, ₽;ДРР, %
OZ-C-201;Трафареты · Кружки LuceCasa;Трафареты;2026-07-27;OZ-012;9908;392;6558;30;89429;7.3
OZ-C-201;Трафареты · Кружки LuceCasa;Трафареты;2026-08-03;OZ-012;19246;520;6662;27;81768;8.1
OZ-C-201;Трафареты · Кружки LuceCasa;Трафареты;2026-08-10;OZ-012;15110;481;7307;28;85252;8.6
OZ-C-201;Трафареты · Кружки LuceCasa;Трафареты;2026-08-17;OZ-012;21655;506;6707;27;79426;8.4
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-07-27;OZ-013;12929;361;5272;26;20832;25.3
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-07-27;OZ-016;6904;273;4242;14;14630;29.0
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-08-03;OZ-013;11598;283;4821;21;16819;28.7
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-08-03;OZ-016;10624;249;4130;17;17295;23.9
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-08-10;OZ-013;9672;288;4748;23;18570;25.6
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-08-10;OZ-016;9071;356;4333;14;14445;30.0
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-08-17;OZ-013;10495;340;5611;25;19646;28.6
OZ-C-202;Продвижение в поиске · Тарелки Keramo;Продвижение в поиске;2026-08-17;OZ-016;10966;327;4274;15;15268;28.0
OZ-C-203;Трафареты · Футболки Basico 08;Трафареты;2026-07-27;OZ-008;4314;114;1628;7;23748;6.9
OZ-C-203;Трафареты · Футболки Basico 08;Трафареты;2026-08-03;OZ-008;5467;120;1582;7;23075;6.9
OZ-C-203;Трафареты · Футболки Basico 08;Трафареты;2026-08-10;OZ-008;5240;139;1850;8;26441;7.0
OZ-C-203;Трафареты · Футболки Basico 08;Трафареты;2026-08-17;OZ-008;2547;87;1460;7;23240;6.3
