ID кампании;Кампания;Тип кампании;Дата;Артикул WB;Показы;Клики;CTR, %;CPC, ₽;Затраты, ₽;Заказы;Сумма заказов, ₽;CR, %
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-06-29;WB-019;22912;562;2.45;13.31;7478;32;28762;5.69
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-06-29;WB-020;20728;555;2.68;9.36;5197;17;71251;3.06
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-07-06;WB-019;19888;619;3.11;11.98;7414;29;25356;4.68
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-07-06;WB-020;15686;556;3.54;11.72;6516;21;87722;3.78
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-07-13;WB-019;28733;797;2.77;10.09;8041;26;22925;3.26
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-07-13;WB-020;9907;383;3.87;13.60;5210;15;63033;3.92
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-07-20;WB-019;27627;639;2.31;10.75;6869;26;22781;4.07
WB-C-101;Аукцион · Наушники SonaX;Аукцион;2026-07-20;WB-020;20506;561;2.74;9.78;5489;21;87331;3.74
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-06-29;WB-001;13807;423;3.06;9.43;3989;28;49000;6.62
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-06-29;WB-003;2855;104;3.64;12.21;1270;8;19558;7.69
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-07-06;WB-001;10009;258;2.58;13.93;3594;31;52567;12.02
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-07-06;WB-003;4809;109;2.27;13.25;1444;8;19267;7.34
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-07-13;WB-001;8806;306;3.47;11.55;3535;24;40794;7.84
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-07-13;WB-003;4001;144;3.60;10.16;1463;9;21964;6.25
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-07-20;WB-001;11276;255;2.26;13.51;3445;24;42196;9.41
WB-C-102;Авто · Худи Northmoor/Aurelka;Автоматическая;2026-07-20;WB-003;3729;135;3.62;10.06;1358;8;19416;5.93
WB-C-103;Авто · Кружки Keramo;Автоматическая;2026-06-29;WB-010;10817;298;2.76;12.33;3674;28;52490;9.40
WB-C-103;Авто · Кружки Keramo;Автоматическая;2026-07-06;WB-010;7822;280;3.58;13.50;3781;28;54018;10.00
WB-C-103;Авто · Кружки Keramo;Автоматическая;2026-07-13;WB-010;13886;358;2.58;10.98;3931;24;44510;6.70
WB-C-103;Авто · Кружки Keramo;Автоматическая;2026-07-20;WB-010;14641;343;2.34;10.54;3615;32;60266;9.33
WB-C-104;Аукцион · Пледы CozyNest 24;Аукцион;2026-06-29;WB-024;8415;223;2.65;11.60;2587;12;40849;5.38
WB-C-104;Аукцион · Пледы CozyNest 24;Аукцион;2026-07-06;WB-024;6946;244;3.51;10.30;2513;11;36380;4.51
WB-C-104;Аукцион · Пледы CozyNest 24;Аукцион;2026-07-13;WB-024;8922;191;2.14;13.19;2520;12;39795;6.28
WB-C-104;Аукцион · Пледы CozyNest 24;Аукцион;2026-07-20;WB-024;5848;222;3.80;12.06;2678;12;40175;5.41
